primaryTitle,startYear,endYear,duration,averageRating,rating_100,rating_category,numVotes,votes_normalized,genres,directors
Breaking Bad,2008,2013,5,9.5,95.0,High,2312017,24.752499432283074,"Crime, Drama, Thriller","Michelle MacLaren, Adam Bernstein, Vince Gilligan, Colin Bucksey, Michael Slovis, Bryan Cranston, Terry McDonough, Johan Renck, Rian Johnson, Scott Winant, Peter Gould, Tricia Brock, Bronwen Hughes, Tim Hunter, Jim McKay, Phil Abraham, John Dahl, Félix Enríquez Alcalá, Charles Haid, Peter Medak, John Shiban, David Slade, George Mastras, Thomas Schnauz, Sam Catlin"
Band of Brothers,2001,2001,0,9.4,94.0,High,559065,5.763048614533121,"Action, Drama, History","David Frankel, Mikael Salomon, Tom Hanks, David Leland, Richard Loncraine, David Nutter, Phil Alden Robinson, Tony To"
Chernobyl,2019,2019,0,9.3,93.0,High,942083,9.912221822534795,"Drama, History, Thriller",Johan Renck
Planet Earth,2006,2006,0,9.4,94.0,High,226878,2.1645195625134974,"Documentary, Family","Alastair Fothergill, Mark Linfield"
Planet Earth II,2016,2016,0,9.4,94.0,High,165947,1.5044637094289166,Documentary,"Justin Anderson, Ed Charles, Fredi Devas, Chadden Hunter, Emma Napper, Elizabeth White"
Game of Thrones,2011,2019,8,9.2,92.0,High,2420347,25.92602113001744,"Action, Adventure, Drama","David Nutter, Alan Taylor, Alex Graves, Miguel Sapochnik, Mark Mylod, Jeremy Podeswa, Daniel Minahan, Alik Sakharov, Michelle MacLaren, Brian Kirk, David Benioff, D.B. Weiss, Timothy Van Patten, Neil Marshall, David Petrarca, Michael Slovis, Jack Bender, Daniel Sackheim, Matt Shakman, Tom McCarthy"
The Sopranos,1999,2007,8,9.2,92.0,High,520062,5.340535305415301,"Crime, Drama","Timothy Van Patten, John Patterson, Allen Coulter, Alan Taylor, Henry Bronchtein, Jack Bender, Steve Buscemi, Daniel Attias, David Chase, Nick Gomez, Matthew Penn, Lorraine Senna, Andy Wolk, Martin Bruestle, Lee Tamahori, James Hayman, Peter Bogdanovich, Mike Figgis, Rodrigo García, Danny Leiner, David Nutter, Steve Shill, Phil Abraham, Terence Winter"
Avatar: The Last Airbender,2005,2008,3,9.3,93.0,High,403253,4.075161946321296,"Action, Adventure, Animation","Giancarlo Volpe, Ethan Spaulding, Lauren MacMullan, Dave Filoni, Joaquim Dos Santos, Michael Dante DiMartino, Anthony Lioi, Bryan Konietzko"
The Wire,2002,2008,6,9.3,93.0,High,401042,4.051210534213009,"Crime, Drama, Thriller","Joe Chappelle, Ernest R. Dickerson, Clark Johnson, Ed Bianchi, Steve Shill, Daniel Attias, Timothy Van Patten, Agnieszka Holland, Brad Anderson, Clement Virgo, Rob Bailey, Elodie Keene, Christine Moore, Alex Zakrzewski, Anthony Hemingway, Seith Mann, Milcho Manchevski, Peter Medak, Gloria Muzio, Robert F. Colesberry, Thomas J. Wright, Leslie Libman, Jim McKay, David Platt, Joy Kecken, Scott Kecken, Dominic West"
Sherlock,2010,2017,7,9.1,91.0,High,1044088,11.017225799063864,"Crime, Drama, Mystery","Paul McGuigan, Jeremy Lovering, Nick Hurran, Coky Giedroyc, Euros Lyn, Toby Haynes, Colm McCarthy, Douglas Mackinnon, Benjamin Caron, Rachel Talalay"
Attack on Titan,2013,2023,10,9.1,91.0,High,600839,6.2155797268857045,"Action, Adventure, Animation","Tetsurô Araki, Masashi Koizuka, Yûichirô Hayashi, Jun Shishido, Hiroyuki Tanaka, Shintarô Itoga, Yasuhiro Akamatsu, Teruyuki Omine, Shinpei Ezaki, Kiyoshi Fukumoto, Yoshihide Ibata, Mitsue Yamazaki, Daisuke Tokudo, Akitoshi Yokoyama, Satonobu Kikuchi, Hitomi Ezoe, Tetsuya Wakano, Makoto Bessho, Tomomi Ikeda, Yasushi Muroya, Keisuke Onishi, Hirokazu Yamada, Takayuki Hirao, Kenji Imura, Tomoko Hiramuki, Shingo Uchida, Takashi Andô, Matsuo Asami, Aiko Sakuraba, Kaori Makita, Hidekazu Hara, Yoshiyuki Fujiwara, Tatsuma Minamikawa, Yuzuru Tachikawa, Shin Wakabayashi, Masayuki Miyaji, Yuumi Kawai, Ken Andô, Ryôsuke Azuma, Ryûta Kawahara, Miki Komuro, Kôki Aoshima, Naoki Matsuura, Kazuo Miyake, Tokio Igarashi"
Scam 1992: The Harshad Mehta Story,2020,2020,0,9.2,92.0,High,164349,1.4871528290358627,"Biography, Crime, Drama","Hansal Mehta, Jai Mehta"
Cosmos: A Spacetime Odyssey,2014,2014,0,9.2,92.0,High,133803,1.1562528587691414,Documentary,"Brannon Braga, Ann Druyan, Bill Pope, Kevin Dart"
The Office,2005,2013,8,9.0,90.0,High,770126,8.049438931578381,Comedy,"Paul Feig, Randall Einhorn, Ken Kwapis, Greg Daniels, Jeffrey Blitz, Ken Whittingham, David Rogers, Charles McDougall, Matt Sohn, Paul Lieberstein, B.J. Novak, Tucker Gates, Harold Ramis, Brent Forrester, Jennifer Celotta, Steve Carell, John Krasinski, Rainn Wilson, Troy Miller, Bryan Gordon, Dennie Gordon, Victor Nelli Jr., Jason Reitman, Julian Farino, Joss Whedon, Seth Gordon, Dean Holland, Lee Eisenberg, Gene Stupnitsky, Mindy Kaling, Ed Helms, Rodman Flender, Claire Scanlon, Amy Heckerling, Miguel Arteta, Roger Nygard, J.J. Abrams, Craig Zisk, Stephen Merchant, Reginald Hudlin, Asaad Kelada, Alex Hardcastle, Danny Leiner, John Scott, Marc Webb, Charlie Grandy, Michael Spiller, Eric Appel, Brian Baumgartner, Daniel Chun, Bryan Cranston, Kelly Cantley-Kashima, Jon Favreau, Lee Kirk, Jesse Peretz"
Better Call Saul,2015,2022,7,9.0,90.0,High,724134,7.551214894633869,"Crime, Drama","Vince Gilligan, Thomas Schnauz, Peter Gould, Michael Morris, Adam Bernstein, Michelle MacLaren, Colin Bucksey, John Shiban, Larysa Kondracki, Terry McDonough, Daniel Sackheim, Minkie Spiro, Jim McKay, Melissa Bernstein, Gordon Smith, Nicole Kassell, Michael Slovis, Scott Winant, Keith Gordon, Deborah Chow, Andrew Stanton, Norberto Barba, Bronwen Hughes, Giancarlo Esposito, Rhea Seehorn"
Arcane,2021,2024,3,9.0,90.0,High,389415,3.9252570884495324,"Action, Adventure, Animation","Pascal Charrue, Arnaud Delord, Barth Maunoury, Marietta Ren, Christelle Abgrall, Etienne Mattera"
Fullmetal Alchemist: Brotherhood,2009,2010,1,9.1,91.0,High,218900,2.078095154643796,"Action, Adventure, Animation","Yasuhiro Irie, Takuya Igarashi, Tsutomu Yabuki, Ikurô Satô, Kiyomitsu Satô, Hiroshi Iketomi, Keiko Namba, Takahiro Ikezoe, Masahiro Sonoda, Masao Ôkubo, Rokô Ogiwara, Takayuki Tanaka, Kazuhide Tomonaga, Daisuke Tsukushi"
Blue Planet II,2017,2017,0,9.3,93.0,High,51448,0.26411421373162913,Documentary,James Honeyborne
Friends,1994,2004,10,8.9,89.0,High,1139482,12.050613861776611,"Comedy, Romance","Gary Halvorson, Kevin Bright, Michael Lembeck, James Burrows, Gail Mancuso, Peter Bonerz, David Schwimmer, Ben Weiss, Robby Benson, Shelley Jensen, Terry Hughes, Dana De Vally Piazza, Sheldon Epps, Pamela Fryman, Alan Myerson, Thomas Schlamme, Steve Zuckerman, Roger Christiansen, Arlene Sanford, Ellen Gittelsohn, Paul Lazarus, Mary Kay Place, Sam Simon, David Steinberg, Todd Holland, Joe Regalbuto, Andrew Tsao, Stephen Prime"
Death Note,2006,2007,1,8.9,89.0,High,420398,4.260891010363165,"Animation, Crime, Drama","Tetsurô Araki, Norimitsu Suzuki, Kei Tsunematsu, Mitsuyuki Masuhara, Tomohiko Itô, Hiroyuki Tsuchiya, Mitsuhiro Yoneda, Eiko Nishi, Makoto Bessho, Shinji Nagamura, Oyunamu, Naoyasu Habu, Hisato Shimoda, Yukio Okazaki, Hironori Aoyagi, Naoto Hashimoto, Takayuki Hirao, Hideki Itô, Ryôsuke Nakamura, Tetsuhito Saitô, Tomio Yamauchi"
Seinfeld,1989,1998,9,8.9,89.0,High,367543,3.6883211835954195,Comedy,"Andy Ackerman, Tom Cherones, David Steinberg, D. Owen Trainor, Joshua White, Jason Alexander, Art Wolff"
The Last Dance,2020,2020,0,9.0,90.0,High,165389,1.4984189839850341,"Biography, Documentary, History",Jason Hehir
Hunter x Hunter,2011,2014,3,9.0,90.0,High,161124,1.452216915852134,"Action, Adventure, Animation","Hiroshi Kôjina, Tony Oliver, Masaki Matsumura, Seung-wook Woo, Daisuke Yoshida, Migmi, Jun'ichi Fujise, Kenichi Kawamura, Tomoya Takahashi"
Batman: The Animated Series,1992,1995,3,9.0,90.0,High,126265,1.0745949010702431,"Action, Adventure, Animation","Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba, Dick Sebast, Bruce Timm, Eric Radomski, Kent Butterworth"
Leyla and Mecnun,2011,2023,12,9.1,91.0,High,99545,0.7851413816069157,"Adventure, Comedy, Drama","Onur Ünlü, Eyüp Boz, Murat Onbul, Funda Alp, Celil Murat Sari, Orkun Ünlü, Yüksel Aksu"
TVF Pitchers,2015,2022,7,9.1,91.0,High,75403,0.5236149270079767,"Comedy, Drama","Amit Golani, Vaibhav Bundhoo, Arunabh Kumar"
Our Planet,2019,2023,4,9.2,92.0,High,56414,0.3179101036139227,Documentary,"Adam Chapman, Hugh Pearson, Toby Nowlan, Huw Cordey, Sophie Lanfear, Mandi Stark, Jeff Wilson"
Cosmos,1980,1980,0,9.3,93.0,High,47714,0.22366438432758481,Documentary,"Adrian Malone, David F. Oyster, Rob McCain, David Kennard, Richard J. Wells, Geoffrey Haines-Stiles, Tom Weidlinger, Richard Wells"
Fargo,2014,2024,10,8.8,88.0,High,442904,4.504694936599754,"Crime, Drama, Thriller","Noah Hawley, Michael Uppendahl, Dana Gonzales, Keith Gordon, Dearbhla Walsh, Sylvain White, Randall Einhorn, Adam Bernstein, Colin Bucksey, Matt Shakman, Scott Winant, Adam Arkin, Jeffrey Reiner, Mike Barker, Donald Murphy, Thomas Bezucha, John Cameron"
Succession,2018,2023,5,8.8,88.0,High,313479,3.102654451699262,"Comedy, Drama","Mark Mylod, Andrij Parekh, Shari Springer Berman, Robert Pulcini, Lorene Scafaria, Adam Arkin, Becky Martin, Kevin Bray, Miguel Arteta, S.J. Clarkson, Adam McKay, Matt Shakman, Cathy Yan"
Firefly,2002,2003,1,8.9,89.0,High,290094,2.849328457962364,"Adventure, Drama, Sci-Fi","Joss Whedon, Vern Gillum, Tim Minear, James A. Contner, Vondie Curtis-Hall, Marita Grabiak, Michael Grossman, Allan Kroeker, David Solomon, Thomas J. Wright"
Gravity Falls,2012,2016,4,8.9,89.0,High,154781,1.383504203503486,"Adventure, Animation, Comedy","Joe Pitt, John Aoshima, Matt Braly, Aaron Springer, Stephen Sandoval, Sunil Hall, Rob Renzetti"
Cowboy Bebop,1998,1999,1,8.9,89.0,High,152621,1.3601052663013606,"Action, Adventure, Animation","Shin'ichirô Watanabe, Yoshiyuki Takei, Ikurô Satô, Kunihiro Mori, Hirokazu Yamada, Tetsuya Watanabe"
The Twilight Zone,1959,1964,5,9.0,90.0,High,100070,0.7908286232879879,"Drama, Fantasy, Horror","John Brahm, Douglas Heyes, Buzz Kulik, Lamont Johnson, Richard L. Bare, James Sheldon, Richard Donner, Don Medford, Montgomery Pittman, Jack Smight, Alvin Ganzer, Ted Post, William F. Claxton, Elliot Silverstein, Abner Biberman, Joseph M. Newman, Alan Crosland Jr., Robert Florey, Mitchell Leisen, Robert Parrish, Ron Winston, Stuart Rosenberg, David Orrick McDearmon, Justus Addiss, Perry Lafferty, Robert Stevens, John Rich, Anton Leader, Boris Sagal, Christian Nyby, Don Siegel, Robert Butler, Allen Reisner, William Asher, Ralph Nelson, Norman Z. McLeod, David Greene, Robert Ellis Miller, Allen H. Miner, Harold D. Schuster, Paul Stewart, David Butler, Bernard Girard, Robert Gist, Walter Grauman, Roger Kay, David Lowell Rich, Richard C. Sarafian, Ralph Senensky, Don Weis, Robert Enrico, Ida Lupino, Jacques Tourneur"
Kota Factory,2019,2021,2,9.0,90.0,High,87527,0.6549522948962021,"Comedy, Drama","Raghav Subbu, Pratish Mehta"
Life,2009,2009,0,9.1,91.0,High,45535,0.20005962314081122,Documentary,Martha Holmes
Peaky Blinders,2013,2022,9,8.7,87.0,High,706060,7.355422121026827,"Crime, Drama","Anthony Byrne, Colm McCarthy, Tim Mielants, David Caffrey, Otto Bathurst, Tom Harper"
House,2004,2012,8,8.7,87.0,High,554250,5.710888483686717,"Drama, Mystery","Greg Yaitanes, Deran Sarafian, David Straiton, Daniel Attias, Daniel Sackheim, Miguel Sapochnik, David Platt, Matt Shakman, Juan José Campanella, Katie Jacobs, Andrew Bernstein, Sanford Bookstaver, Peter O'Fallon, Fred Gerber, David Semel, Lesli Linka Glatter, Newton Thomas Sigel, Bryan Spicer, Bryan Singer, Frederick King Keller, David Shore, James Hayman, Martha Mitchell, Hugh Laurie, Tucker Gates, Tim Southam, Peter Medak, Paris Barclay, Guy Ferland, Keith Gordon, Tim Hunter, Bill Johnson, Nelson McCormick, Gloria Muzio, Randy Zisk, Jace Alexander, Félix Enríquez Alcalá, Laura Innes, John F. Showalter, Tony To, Elodie Keene, Paul McCrane, Matthew Penn, Nick Gomez, S.J. Clarkson, Kate Woods, Colin Bucksey, Julian Higgins, Stefan Schwartz, Peter Weller"
Narcos,2015,2017,2,8.7,87.0,High,498269,5.104455195023673,"Biography, Crime, Drama","Andrés Baiz, Josef Kubota Wladyka, Fernando Coimbra, Gerardo Naranjo, Guillermo Navarro, José Padilha, Gabriel Ripstein"
Dark,2017,2020,3,8.7,87.0,High,487491,4.987698831521587,"Crime, Drama, Mystery",Baran bo Odar
Arrested Development,2003,2019,16,8.7,87.0,High,333923,3.3241210591808583,Comedy,"Troy Miller, Mitchell Hurwitz, Joe Russo, Paul Feig, Anthony Russo, Lee Shallat Chemel, Jay Chandrasekhar, Greg Mottola, John Fortenberry, Peter Lauer, Robert Berlinger, Lev L. Spiro, Jason Bateman, Patty Jenkins, Jeff Melman, John Amodeo, Andrew Fleming, Danny Leiner, Chuck Martin, Arlene Sanford, Rebecca Asher"
